"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Death_Score","Lower","Higher"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL",36301,"HOUSTON","MORT_30_AMI","No Different than the National Rate",12.5,"10.6","14.9"
10005,"MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL",35957,"MARSHALL","MORT_30_AMI","No Different than the National Rate",16,"12.5","20.0"
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL",35631,"LAUDERDALE","MORT_30_AMI","No Different than the National Rate",16.7,"13.7","20.1"
10007,"MIZELL MEMORIAL HOSPITAL","OPP","AL",36467,"COVINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10008,"CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL",36049,"CRENSHAW","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10011,"ST VINCENT'S EAST","BIRMINGHAM","AL",35235,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",13.9,"11.1","17.1"
10012,"DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL",35968,"DE KALB","MORT_30_AMI","No Different than the National Rate",16.8,"13.4","20.8"
10016,"SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL",35007,"SHELBY","MORT_30_AMI","No Different than the National Rate",14.7,"11.6","18.2"
10018,"CALLAHAN EYE HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10019,"HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL",35660,"COLBERT","MORT_30_AMI","No Different than the National Rate",15.6,"11.7","20.2"
10021,"DALE MEDICAL CENTER","OZARK","AL",36360,"DALE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10022,"CHEROKEE MEDICAL CENTER","CENTRE","AL",35960,"CHEROKEE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10023,"BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL",36116,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",13.4,"10.8","16.5"
10024,"JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL",36106,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",14.8,"12.2","17.9"
10029,"EAST ALABAMA MEDICAL CENTER","OPELIKA","AL",36801,"LEE","MORT_30_AMI","No Different than the National Rate",15.5,"12.4","19.2"
10032,"WEDOWEE HOSPITAL","WEDOWEE","AL",36278,"RANDOLPH","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10033,"UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",12.4,"10.0","15.4"
10034,"COMMUNITY HOSPITAL INC","TALLASSEE","AL",36078,"ELMORE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10035,"CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL",35058,"CULLMAN","MORT_30_AMI","No Different than the National Rate",15.7,"12.4","19.6"
10036,"ANDALUSIA REGIONAL HOSPITAL","ANDALUSIA","AL",36420,"COVINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10038,"STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL",36201,"CALHOUN","MORT_30_AMI","No Different than the National Rate",14.5,"11.1","18.3"
10039,"HUNTSVILLE HOSPITAL","HUNTSVILLE","AL",35801,"MADISON","MORT_30_AMI","No Different than the National Rate",13.1,"11.2","15.1"
10040,"GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL",35903,"ETOWAH","MORT_30_AMI","No Different than the National Rate",15,"12.0","18.6"
10044,"MARION REGIONAL MEDICAL CENTER","HAMILTON","AL",35570,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10045,"FAYETTE MEDICAL CENTER","FAYETTE","AL",35555,"FAYETTE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL",35901,"ETOWAH","MORT_30_AMI","No Different than the National Rate",15.9,"12.3","20.3"
10047,"GEORGIANA MEDICAL CENTER","GEORGIANA","AL",36033,"BUTLER","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10049,"MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL",36330,"COFFEE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10051,"GREENE COUNTY HOSPITAL","EUTAW","AL",35462,"GREENE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10052,"LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL",36853,"TALLAPOOSA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10055,"FLOWERS HOSPITAL","DOTHAN","AL",36305,"HOUSTON","MORT_30_AMI","No Different than the National Rate",17,"13.9","20.4"
10056,"ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL",35205,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",15.5,"12.7","18.7"
10058,"BIBB MEDICAL CENTER","CENTREVILLE","AL",35042,"BIBB","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10059,"LAWRENCE MEDICAL CENTER","MOULTON","AL",35650,"LAWRENCE","MORT_30_AMI","No Different than the National Rate",14.5,"11.1","18.7"
10061,"HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL",35768,"JACKSON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10062,"WIREGRASS MEDICAL CENTER","GENEVA","AL",36340,"GENEVA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10065,"RUSSELL HOSPITAL","ALEXANDER CITY","AL",35010,"TALLAPOOSA","MORT_30_AMI","No Different than the National Rate",14.7,"10.9","19.0"
10069,"MEDICAL CENTER BARBOUR","EUFAULA","AL",36027,"BARBOUR","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10073,"CLAY COUNTY HOSPITAL","ASHLAND","AL",36251,"CLAY","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL",36207,"CALHOUN","MORT_30_AMI","No Different than the National Rate",14.2,"11.6","17.3"
10079,"ATHENS LIMESTONE HOSPITAL","ATHENS","AL",35611,"LIMESTONE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL",36535,"BALDWIN","MORT_30_AMI","No Different than the National Rate",14.2,"10.9","18.0"
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","DECATUR","AL",35601,"MORGAN","MORT_30_AMI","No Different than the National Rate",14.5,"11.4","18.1"
10086,"NORTHWEST MEDICAL CENTER","WINFIELD","AL",35594,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL",36617,"MOBILE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10089,"WALKER BAPTIST MEDICAL CENTER","JASPER","AL",35502,"WALKER","MORT_30_AMI","No Different than the National Rate",12.7,"9.6","16.3"
10090,"PROVIDENCE HOSPITAL","MOBILE","AL",36608,"MOBILE","MORT_30_AMI","No Different than the National Rate",16.7,"13.4","20.3"
10091,"GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL",36451,"CLARKE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10092,"D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL",35401,"TUSCALOOSA","MORT_30_AMI","No Different than the National Rate",16.2,"13.5","19.3"
10095,"HALE COUNTY HOSPITAL","GREENSBORO","AL",36744,"HALE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10097,"ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL",36092,"ELMORE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10099,"D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL",36426,"ESCAMBIA","MORT_30_AMI","No Different than the National Rate",15.7,"12.0","20.2"
10100,"THOMAS HOSPITAL","FAIRHOPE","AL",36532,"BALDWIN","MORT_30_AMI","No Different than the National Rate",14.5,"11.4","18.4"
10101,"CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL",35161,"TALLADEGA","MORT_30_AMI","No Different than the National Rate",14.3,"10.8","18.4"
10102,"J PAUL JONES HOSPITAL","CAMDEN","AL",36726,"WILCOX","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10103,"BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL",35211,"JEFFERSON","MORT_30_AMI","Worse than the National Rate",18.2,"15.0","21.9"
10104,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL",35243,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",15.2,"12.1","18.9"
10108,"PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL",36067,"AUTAUGA","MORT_30_AMI","No Different than the National Rate",13.9,"10.6","18.0"
