"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Readmission_Score","Lower","Higher"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL",36301,"HOUSTON","READM_30_AMI","No Different than the National Rate",16.5,"14.6","18.8"
10005,"MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL",35957,"MARSHALL","READM_30_AMI","No Different than the National Rate",16.7,"13.7","20.2"
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL",35631,"LAUDERDALE","READM_30_AMI","No Different than the National Rate",16.1,"13.7","19.0"
10007,"MIZELL MEMORIAL HOSPITAL","OPP","AL",36467,"COVINGTON","READM_30_AMI",NA,NA,"Not Available","Not Available"
10008,"CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL",36049,"CRENSHAW","READM_30_AMI",NA,NA,"Not Available","Not Available"
10011,"ST VINCENT'S EAST","BIRMINGHAM","AL",35235,"JEFFERSON","READM_30_AMI","No Different than the National Rate",17.7,"14.9","20.7"
10012,"DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL",35968,"DE KALB","READM_30_AMI","No Different than the National Rate",16.1,"13.2","19.3"
10016,"SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL",35007,"SHELBY","READM_30_AMI","No Different than the National Rate",17.7,"14.9","21.1"
10018,"CALLAHAN EYE HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","READM_30_AMI",NA,NA,"Not Available","Not Available"
10019,"HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL",35660,"COLBERT","READM_30_AMI",NA,NA,"Not Available","Not Available"
10021,"DALE MEDICAL CENTER","OZARK","AL",36360,"DALE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10022,"CHEROKEE MEDICAL CENTER","CENTRE","AL",35960,"CHEROKEE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10023,"BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL",36116,"MONTGOMERY","READM_30_AMI","No Different than the National Rate",18.1,"15.6","20.8"
10024,"JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL",36106,"MONTGOMERY","READM_30_AMI","No Different than the National Rate",17.9,"15.2","20.9"
10029,"EAST ALABAMA MEDICAL CENTER","OPELIKA","AL",36801,"LEE","READM_30_AMI","No Different than the National Rate",16.8,"14.3","19.9"
10032,"WEDOWEE HOSPITAL","WEDOWEE","AL",36278,"RANDOLPH","READM_30_AMI",NA,NA,"Not Available","Not Available"
10033,"UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","READM_30_AMI","No Different than the National Rate",18,"15.5","20.6"
10034,"COMMUNITY HOSPITAL INC","TALLASSEE","AL",36078,"ELMORE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10035,"CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL",35058,"CULLMAN","READM_30_AMI","No Different than the National Rate",16.2,"13.4","19.6"
10036,"ANDALUSIA REGIONAL HOSPITAL","ANDALUSIA","AL",36420,"COVINGTON","READM_30_AMI",NA,NA,"Not Available","Not Available"
10038,"STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL",36201,"CALHOUN","READM_30_AMI","No Different than the National Rate",17.7,"14.6","21.1"
10039,"HUNTSVILLE HOSPITAL","HUNTSVILLE","AL",35801,"MADISON","READM_30_AMI","No Different than the National Rate",16.3,"14.5","18.3"
10040,"GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL",35903,"ETOWAH","READM_30_AMI","No Different than the National Rate",17.1,"14.3","20.3"
10044,"MARION REGIONAL MEDICAL CENTER","HAMILTON","AL",35570,"MARION","READM_30_AMI",NA,NA,"Not Available","Not Available"
10045,"FAYETTE MEDICAL CENTER","FAYETTE","AL",35555,"FAYETTE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL",35901,"ETOWAH","READM_30_AMI","No Different than the National Rate",17.9,"14.8","21.5"
10047,"GEORGIANA MEDICAL CENTER","GEORGIANA","AL",36033,"BUTLER","READM_30_AMI",NA,NA,"Not Available","Not Available"
10049,"MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL",36330,"COFFEE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10051,"GREENE COUNTY HOSPITAL","EUTAW","AL",35462,"GREENE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10052,"LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL",36853,"TALLAPOOSA","READM_30_AMI",NA,NA,"Not Available","Not Available"
10055,"FLOWERS HOSPITAL","DOTHAN","AL",36305,"HOUSTON","READM_30_AMI","No Different than the National Rate",16,"13.5","18.8"
10056,"ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL",35205,"JEFFERSON","READM_30_AMI","No Different than the National Rate",16.9,"14.3","20.0"
10058,"BIBB MEDICAL CENTER","CENTREVILLE","AL",35042,"BIBB","READM_30_AMI",NA,NA,"Not Available","Not Available"
10059,"LAWRENCE MEDICAL CENTER","MOULTON","AL",35650,"LAWRENCE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10061,"HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL",35768,"JACKSON","READM_30_AMI",NA,NA,"Not Available","Not Available"
10062,"WIREGRASS MEDICAL CENTER","GENEVA","AL",36340,"GENEVA","READM_30_AMI",NA,NA,"Not Available","Not Available"
10065,"RUSSELL HOSPITAL","ALEXANDER CITY","AL",35010,"TALLAPOOSA","READM_30_AMI","No Different than the National Rate",16,"13.0","19.7"
10069,"MEDICAL CENTER BARBOUR","EUFAULA","AL",36027,"BARBOUR","READM_30_AMI",NA,NA,"Not Available","Not Available"
10073,"CLAY COUNTY HOSPITAL","ASHLAND","AL",36251,"CLAY","READM_30_AMI",NA,NA,"Not Available","Not Available"
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL",36207,"CALHOUN","READM_30_AMI","No Different than the National Rate",17.8,"15.3","20.5"
10079,"ATHENS LIMESTONE HOSPITAL","ATHENS","AL",35611,"LIMESTONE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL",36535,"BALDWIN","READM_30_AMI","No Different than the National Rate",16.5,"13.4","19.9"
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","DECATUR","AL",35601,"MORGAN","READM_30_AMI","No Different than the National Rate",17.5,"14.5","20.9"
10086,"NORTHWEST MEDICAL CENTER","WINFIELD","AL",35594,"MARION","READM_30_AMI",NA,NA,"Not Available","Not Available"
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL",36617,"MOBILE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10089,"WALKER BAPTIST MEDICAL CENTER","JASPER","AL",35502,"WALKER","READM_30_AMI","No Different than the National Rate",17.8,"14.7","21.3"
10090,"PROVIDENCE HOSPITAL","MOBILE","AL",36608,"MOBILE","READM_30_AMI","No Different than the National Rate",17.9,"14.9","21.2"
10091,"GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL",36451,"CLARKE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10092,"D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL",35401,"TUSCALOOSA","READM_30_AMI","No Different than the National Rate",18.7,"16.2","21.4"
10095,"HALE COUNTY HOSPITAL","GREENSBORO","AL",36744,"HALE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10097,"ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL",36092,"ELMORE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10099,"D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL",36426,"ESCAMBIA","READM_30_AMI",NA,NA,"Not Available","Not Available"
10100,"THOMAS HOSPITAL","FAIRHOPE","AL",36532,"BALDWIN","READM_30_AMI","No Different than the National Rate",15.5,"12.9","18.7"
10101,"CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL",35161,"TALLADEGA","READM_30_AMI",NA,NA,"Not Available","Not Available"
10102,"J PAUL JONES HOSPITAL","CAMDEN","AL",36726,"WILCOX","READM_30_AMI",NA,NA,"Not Available","Not Available"
10103,"BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL",35211,"JEFFERSON","READM_30_AMI","No Different than the National Rate",17.7,"15.1","20.7"
10104,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL",35243,"JEFFERSON","READM_30_AMI","No Different than the National Rate",15.7,"13.3","18.7"
10108,"PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL",36067,"AUTAUGA","READM_30_AMI",NA,NA,"Not Available","Not Available"
10109,"PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL",35447,"PICKENS","READM_30_AMI",NA,NA,"Not Available","Not Available"
10110,"BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL",36089,"BULLOCK","READM_30_AMI",NA,NA,"Not Available","Not Available"
10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","DEMOPOLIS","AL",36732,"MARENGO","READM_30_AMI",NA,NA,"Not Available","Not Available"
10113,"MOBILE INFIRMARY MEDICAL CENTER","MOBILE","AL",36652,"MOBILE","READM_30_AMI","No Different than the National Rate",16.8,"14.1","20.0"
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL",35021,"JEFFERSON","READM_30_AMI","No Different than the National Rate",16.9,"13.9","20.3"
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","SELMA","AL",36701,"DALLAS","READM_30_AMI","No Different than the National Rate",18.6,"15.7","21.9"
10120,"MONROE COUNTY HOSPITAL","MONROEVILLE","AL",36460,"MONROE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10125,"LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL",35565,"WINSTON","READM_30_AMI",NA,NA,"Not Available","Not Available"
10126,"TROY REGIONAL MEDICAL CENTER","TROY","AL",36081,"PIKE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10128,"JACKSON MEDICAL CENTER","JACKSON","AL",36545,"CLARKE","READM_30_AMI",NA,NA,"Not Available","Not Available"
10129,"NORTH BALDWIN INFIRMARY","BAY MINETTE","AL",36507,"BALDWIN","READM_30_AMI",NA,NA,"Not Available","Not Available"
10130,"ST VINCENT'S ST CLAIR","PELL CITY","AL",35125,"SAINT CLAIR","READM_30_AMI",NA,NA,"Not Available","Not Available"
10131,"CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL",35801,"MADISON","READM_30_AMI","No Different than the National Rate",17.6,"14.5","21.0"
10138,"HILL HOSPITAL OF SUMTER COUNTY","YORK","AL",36925,"SUMTER","READM_30_AMI",NA,NA,"Not Available","Not Available"
10139,"BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL",35209,"JEFFERSON","READM_30_AMI","No Different than the National Rate",17.4,"14.8","20.2"
10144,"SPRINGHILL MEMORIAL HOSPITAL","MOBILE","AL",36608,"MOBILE","READM_30_AMI","No Different than the National Rate",18.4,"15.4","22.1"
10146,"RMC JACKSONVILLE","JACKSONVILLE","AL",36265,"CALHOUN","READM_30_AMI",NA,NA,"Not Available","Not Available"
10148,"EVERGREEN MEDICAL CENTER","EVERGREEN","AL",36401,"CONECUH","READM_30_AMI",NA,NA,"Not Available","Not Available"
10149,"BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL",36117,"MONTGOMERY","READM_30_AMI","No Different than the National Rate",16.7,"13.7","20.0"
10150,"L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL",36037,"BUTLER","READM_30_AMI",NA,NA,"Not Available","Not Available"
10157,"SHOALS HOSPITAL","MUSCLE SHOALS","AL",35661,"COLBERT","READM_30_AMI",NA,NA,"Not Available","Not Available"
10158,"RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL",35653,"FRANKLIN","READM_30_AMI",NA,NA,"Not Available","Not Available"
10164,"COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL",35150,"TALLADEGA","READM_30_AMI","No Different than the National Rate",16.3,"13.4","19.7"
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL",36867,"RUSSELL","READM_30_AMI",NA,NA,"Not Available","Not Available"
10169,"ATMORE COMMUNITY HOSPITAL","ATMORE","AL",36502,"ESCAMBIA","READM_30_AMI",NA,NA,"Not Available","Not Available"
11300,"WASHINGTON COUNTY HOSPITAL","CHATOM","AL",36518,"WASHINGTON","READM_30_AMI",NA,NA,"Not Available","Not Available"
11302,"RED BAY HOSPITAL","RED BAY","AL",35582,"FRANKLIN","READM_30_AMI",NA,NA,"Not Available","Not Available"
11304,"CHOCTAW GENERAL HOSPITAL","BUTLER","AL",36904,"CHOCTAW","READM_30_AMI",NA,NA,"Not Available","Not Available"
11305,"ST VINCENTS BLOUNT","ONEONTA","AL",35121,"BLOUNT","READM_30_AMI",NA,NA,"Not Available","Not Available"
13300,"CHILDREN'S HOSPITAL OF ALABAMA","BIRMINGHAM","AL",35233,"JEFFERSON","READM_30_AMI",NA,NA,"Not Available","Not Available"
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","MOBILE","AL",36604,"MOBILE","READM_30_AMI",NA,NA,"Not Available","Not Available"
