"County","State","Average_Mort_Score","Average_Readm_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
"YUMA","AZ",13.1,17.2,"Better Than National",NA,NA
"YUMA","CO",NA,NA,NA,NA,NA
"YUBA","CA",13.9,18.9,NA,"Worse Than National",NA
"YOUNG","TX",NA,NA,NA,NA,NA
"YORK","ME",12.9,16.3,"Better Than National","Better Than National","Better Than National"
"YORK","NE",NA,NA,NA,NA,NA
"YORK","PA",13.0333333333333,16.9666666666667,"Better Than National",NA,NA
"YORK","SC",16.1,16.4,"Worse Than National",NA,NA
"YOLO","CA",15.9,NA,"Worse Than National",NA,NA
"YOAKUM","TX",NA,NA,NA,NA,NA
"YELLOWSTONE","MT",13.7,15.25,NA,"Better Than National",NA
"YELLOW MEDICINE","MN",NA,NA,NA,NA,NA
"YELL","AR",15.8,NA,"Worse Than National",NA,NA
"YAZOO","MS",NA,NA,NA,NA,NA
"YAVAPAI","AZ",14.2666666666667,16.6666666666667,NA,NA,NA
"YAUCO","PR",NA,NA,NA,NA,NA
"YATES","NY",NA,NA,NA,NA,NA
"YANKTON","SD",13.7,16.5,NA,NA,NA
"YAMHILL","OR",13.2,15.9,"Better Than National","Better Than National","Better Than National"
"YALOBUSHA","MS",NA,NA,NA,NA,NA
"YAKIMA","WA",13.75,16.2,NA,"Better Than National",NA
"WYTHE","VA",14.4,16,NA,"Better Than National",NA
"WYOMING","NY",NA,NA,NA,NA,NA
"WYOMING","PA",NA,NA,NA,NA,NA
"WYANDOTTE","KS",14.15,18.2,NA,"Worse Than National",NA
"WYANDOT","OH",NA,NA,NA,NA,NA
"WRIGHT","IA",NA,NA,NA,NA,NA
"WRIGHT","MN",NA,NA,NA,NA,NA
"WORTH","GA",NA,NA,NA,NA,NA
"WORCESTER","MA",13.4833333333333,17.1166666666667,"Better Than National",NA,NA
"WORCESTER","MD",NA,NA,NA,NA,NA
"WOODWARD","OK",NA,NA,NA,NA,NA
"WOODS","OK",NA,NA,NA,NA,NA
"WOODFORD","IL",NA,NA,NA,NA,NA
"WOODFORD","KY",NA,NA,NA,NA,NA
"WOODBURY","IA",14.4,17.25,NA,NA,NA
"WOOD","OH",NA,NA,NA,NA,NA
"WOOD","TX",NA,NA,NA,NA,NA
"WOOD","WI",14.1,18.3,NA,"Worse Than National",NA
"WOOD","WV",12.9,16.8,"Better Than National",NA,NA
"WISE","TX",16.3,17.3,"Worse Than National","Worse Than National","Worse Than National"
"WISE","VA",13,18,"Better Than National","Worse Than National",NA
"WINSTON","AL",NA,NA,NA,NA,NA
"WINSTON","MS",NA,NA,NA,NA,NA
"WINONA","MN",13.5,16.7,"Better Than National",NA,NA
"WINNESHIEK","IA",13.3,15.7,"Better Than National","Better Than National","Better Than National"
"WINNEBAGO","IL",13.3666666666667,17.2333333333333,"Better Than National",NA,NA
"WINNEBAGO","WI",13.5,16.4666666666667,"Better Than National",NA,NA
"WINN","LA",NA,NA,NA,NA,NA
"WINKLER","TX",NA,NA,NA,NA,NA
"WINDSOR","VT",14,16.4,NA,NA,NA
"WINDHAM","CT",14.9,17.05,"Worse Than National",NA,NA
"WINDHAM","VT",14.7,NA,NA,NA,NA
"WINCHESTER CITY","VA",14,17.6,NA,"Worse Than National",NA
"WILSON","KS",NA,NA,NA,NA,NA
"WILSON","NC",12.9,18.2,"Better Than National","Worse Than National",NA
"WILSON","TN",13.5,17.5,"Better Than National","Worse Than National",NA
"WILSON","TX",NA,NA,NA,NA,NA
"WILLIAMSON","IL",13.95,17.2,NA,NA,NA
"WILLIAMSON","TN",14.8,17.7,NA,"Worse Than National",NA
"WILLIAMSON","TX",14.45,15.775,NA,"Better Than National",NA
"WILLIAMSBURG","SC",NA,NA,NA,NA,NA
"WILLIAMS","ND",NA,NA,NA,NA,NA
"WILLIAMS","OH",17.1,16.4,"Worse Than National",NA,NA
"WILL","IL",13.0333333333333,18.1,"Better Than National","Worse Than National",NA
"WILKINSON","MS",NA,NA,NA,NA,NA
"WILKIN","MN",NA,NA,NA,NA,NA
"WILKES","GA",NA,NA,NA,NA,NA
"WILKES","NC",NA,NA,NA,NA,NA
"WILCOX","AL",NA,NA,NA,NA,NA
"WILBARGER","TX",NA,NA,NA,NA,NA
"WICOMICO","MD",NA,NA,NA,NA,NA
"WICHITA","KS",NA,NA,NA,NA,NA
"WICHITA","TX",16.2,16.4,"Worse Than National",NA,NA
"WHITMAN","WA",NA,NA,NA,NA,NA
"WHITLEY","IN",NA,NA,NA,NA,NA
"WHITFIELD","GA",13.7,15.1,NA,"Better Than National",NA
"WHITESIDE","IL",13.9,16.4,NA,NA,NA
"WHITE PINE","NV",NA,NA,NA,NA,NA
"WHITE","AR",14.6,17.3,NA,"Worse Than National",NA
"WHITE","IN",NA,NA,NA,NA,NA
"WHITE","TN",14.2,16.9,NA,NA,NA
"WHEELER","TX",NA,NA,NA,NA,NA
"WHEATLAND","MT",NA,NA,NA,NA,NA
"WHATCOM","WA",14.7,16.5,NA,NA,NA
"WHARTON","TX",NA,NA,NA,NA,NA
"WEXFORD","MI",12.9,16.5,"Better Than National",NA,NA
"WETZEL","WV",NA,NA,NA,NA,NA
"WESTON","WY",NA,NA,NA,NA,NA
"WESTMORELAND","PA",13.9,17.1,NA,NA,NA
"WESTCHESTER","NY",13.55,17.1333333333333,NA,NA,NA
"WEST FELICIANA","LA",NA,NA,NA,NA,NA
"WEST CARROLL","LA",NA,NA,NA,NA,NA
"WELLS","IN",NA,NA,NA,NA,NA
"WELLS","ND",NA,NA,NA,NA,NA
"WELD","CO",12.2,16.7,"Better Than National",NA,NA
"WEBSTER","IA",14.7,16.8,NA,NA,NA
"WEBSTER","LA",15.1,16.7,"Worse Than National",NA,NA
"WEBSTER","MS",NA,NA,NA,NA,NA
"WEBSTER","NE",NA,NA,NA,NA,NA
"WEBSTER","WV",NA,NA,NA,NA,NA
"WEBER","UT",14.05,15.75,NA,"Better Than National",NA
"WEBB","TX",15.5,16.85,"Worse Than National",NA,NA
"WEAKLEY","TN",15.8,16.6,"Worse Than National",NA,NA
"WAYNE","GA",13.4,NA,"Better Than National",NA,NA
"WAYNE","IA",NA,NA,NA,NA,NA
"WAYNE","IL",14.4,16.5,NA,NA,NA
"WAYNE","IN",12.2,15.9,"Better Than National","Better Than National","Better Than National"
"WAYNE","KY",NA,NA,NA,NA,NA
"WAYNE","MI",13.2769230769231,17.4461538461538,"Better Than National","Worse Than National",NA
"WAYNE","MS",NA,NA,NA,NA,NA
"WAYNE","NC",15.5,16.9,"Worse Than National",NA,NA
"WAYNE","NE",NA,NA,NA,NA,NA
"WAYNE","NY",12.7,16.9,"Better Than National",NA,NA
"WAYNE","OH",13,16.7,"Better Than National",NA,NA
"WAYNE","PA",17.3,16.9,"Worse Than National",NA,NA
"WAYNE","TN",NA,NA,NA,NA,NA
"WAUSHARA","WI",NA,NA,NA,NA,NA
"WAUPACA","WI",NA,NA,NA,NA,NA
"WAUKESHA","WI",14.25,17.125,NA,NA,NA
"WATONWAN","MN",NA,NA,NA,NA,NA
"WATAUGA","NC",13.7,16.9,NA,NA,NA
"WASHTENAW","MI",12.2,16.35,"Better Than National",NA,NA
"WASHOE","NV",14.5666666666667,16.2666666666667,NA,"Better Than National",NA
"WASHITA","OK",NA,NA,NA,NA,NA
"WASHINGTON","AL",NA,NA,NA,NA,NA
"WASHINGTON","AR",14.3,18.25,NA,"Worse Than National",NA
"WASHINGTON","FL",NA,NA,NA,NA,NA
"WASHINGTON","GA",NA,NA,NA,NA,NA
"WASHINGTON","IA",NA,NA,NA,NA,NA
"WASHINGTON","ID",NA,NA,NA,NA,NA
"WASHINGTON","IL",NA,NA,NA,NA,NA
"WASHINGTON","IN",NA,NA,NA,NA,NA
"WASHINGTON","KS",NA,NA,NA,NA,NA
"WASHINGTON","LA",NA,NA,NA,NA,NA
"WASHINGTON","MD",NA,NA,NA,NA,NA
"WASHINGTON","ME",14.35,17.05,NA,NA,NA
"WASHINGTON","MN",13.9,NA,NA,NA,NA
"WASHINGTON","MO",NA,NA,NA,NA,NA
"WASHINGTON","MS",13.4,17.1,"Better Than National",NA,NA
"WASHINGTON","NC",NA,NA,NA,NA,NA
"WASHINGTON","NE",NA,NA,NA,NA,NA
"WASHINGTON","OH",12.9,15.8,"Better Than National","Better Than National","Better Than National"
"WASHINGTON","OK",14.3,16.6,NA,NA,NA
"WASHINGTON","OR",13.4666666666667,16.1,"Better Than National","Better Than National","Better Than National"
"WASHINGTON","PA",14.55,16.9,NA,NA,NA
"WASHINGTON","RI",13.95,16.85,NA,NA,NA
"WASHINGTON","TN",14.4,19.4,NA,"Worse Than National",NA
"WASHINGTON","TX",15.4,15.9,"Worse Than National","Better Than National",NA
"WASHINGTON","UT",14.3,14.9,NA,"Better Than National",NA
"WASHINGTON","VA",13.8,16.9,NA,NA,NA
"WASHINGTON","VT",14.4,15.7,NA,"Better Than National",NA
"WASHINGTON","WI",14.5,NA,NA,NA,NA
"WASHBURN","WI",NA,NA,NA,NA,NA
"WASHAKIE","WY",NA,NA,NA,NA,NA
"WASECA","MN",NA,NA,NA,NA,NA
"WASCO","OR",15.4,16.8,"Worse Than National",NA,NA
"WASATCH","UT",NA,NA,NA,NA,NA
"WARRICK","IN",12.8,17.4,"Better Than National","Worse Than National",NA
"WARREN","IL",NA,NA,NA,NA,NA
"WARREN","IN",NA,NA,NA,NA,NA
"WARREN","KY",13.5,18.95,"Better Than National","Worse Than National",NA
"WARREN","MS",15.5,18.3,"Worse Than National","Worse Than National","Worse Than National"
"WARREN","NJ",14,18,NA,"Worse Than National",NA
"WARREN","NY",14.5,15.4,NA,"Better Than National",NA
"WARREN","OH",15.8,15.9,"Worse Than National","Better Than National",NA
"WARREN","PA",15.1,16.3,"Worse Than National","Better Than National",NA
"WARREN","TN",13.1,NA,"Better Than National",NA,NA
"WARREN","VA",NA,NA,NA,NA,NA
"WARE","GA",13.8,17.5,NA,"Worse Than National",NA
"WARD","ND",13.5,16.7,"Better Than National",NA,NA
"WARD","TX",NA,NA,NA,NA,NA
"WAPELLO","IA",14.2,16.2,NA,"Better Than National",NA
"WALWORTH","SD",NA,NA,NA,NA,NA
"WALWORTH","WI",14.5,15.9,NA,"Better Than National",NA
"WALTON","FL",14.7,16.2,NA,"Better Than National",NA
"WALTON","GA",14.4,16.7,NA,NA,NA
"WALTHALL","MS",NA,NA,NA,NA,NA
"WALSH","ND",NA,NA,NA,NA,NA
"WALLOWA","OR",NA,NA,NA,NA,NA
"WALLA WALLA","WA",13.5,16.05,"Better Than National","Better Than National","Better Than National"
"WALKER","AL",12.7,17.8,"Better Than National","Worse Than National",NA
"WALKER","TX",15.6,16.2,"Worse Than National","Better Than National",NA
"WALDO","ME",13.6,17.5,NA,"Worse Than National",NA
"WAKE","NC",14.025,16.475,NA,NA,NA
"WAGONER","OK",NA,NA,NA,NA,NA
"WADENA","MN",NA,NA,NA,NA,NA
"WABASHA","MN",NA,NA,NA,NA,NA
"WABASH","IL",NA,NA,NA,NA,NA
"WABASH","IN",NA,NA,NA,NA,NA
"VOLUSIA","FL",14.44,17.06,NA,NA,NA
"VIRGINIA BEACH CITY","VA",12.8,16.95,"Better Than National",NA,NA
"VILAS","WI",NA,NA,NA,NA,NA
"VIGO","IN",12.65,17.5,"Better Than National","Worse Than National",NA
"VICTORIA","TX",13.8,15.9,NA,"Better Than National",NA
"VERNON","LA",NA,NA,NA,NA,NA
"VERNON","MO",NA,NA,NA,NA,NA
"VERNON","WI",NA,NA,NA,NA,NA
"VERMILLION","IN",14.4,NA,NA,NA,NA
"VERMILION","IL",14.2,16.6,NA,NA,NA
"VERMILION","LA",NA,NA,NA,NA,NA
"VENTURA","CA",13.4833333333333,16.58,"Better Than National",NA,NA
"VENANGO","PA",14.2,16.5,NA,NA,NA
"VEGA BAJA","PR",NA,NA,NA,NA,NA
"VANDERBURGH","IN",14.65,18.4,NA,"Worse Than National",NA
"VANCE","NC",15.5,16.4,"Worse Than National",NA,NA
"VAN WERT","OH",13.7,NA,NA,NA,NA
"VAN BUREN","AR",NA,NA,NA,NA,NA
"VAN BUREN","IA",NA,NA,NA,NA,NA
"VAN BUREN","MI",NA,NA,NA,NA,NA
"VALLEY","ID",NA,NA,NA,NA,NA
"VALLEY","MT",NA,NA,NA,NA,NA
"VALLEY","NE",NA,NA,NA,NA,NA
"VAL VERDE","TX",14.6,16.5,NA,NA,NA
"UVALDE","TX",14.6,NA,NA,NA,NA
"UTUADO","PR",NA,NA,NA,NA,NA
"UTAH","UT",12.9,16.5,"Better Than National",NA,NA
"UPTON","TX",NA,NA,NA,NA,NA
"UPSON","GA",16,NA,"Worse Than National",NA,NA
"UPSHUR","WV",NA,NA,NA,NA,NA
"UNION","AR",13.8,16.7,NA,NA,NA
"UNION","FL",NA,NA,NA,NA,NA
"UNION","GA",14.4,NA,NA,NA,NA
"UNION","IA",NA,NA,NA,NA,NA
"UNION","IL",NA,NA,NA,NA,NA
"UNION","KY",NA,NA,NA,NA,NA
"UNION","LA",NA,NA,NA,NA,NA
"UNION","MS",16.6,16.2,"Worse Than National","Better Than National",NA
"UNION","NC",13.8,17.7,NA,"Worse Than National",NA
"UNION","NJ",14.6333333333333,16.5666666666667,NA,NA,NA
"UNION","NM",NA,NA,NA,NA,NA
"UNION","OH",NA,NA,NA,NA,NA
"UNION","OR",NA,NA,NA,NA,NA
"UNION","PA",13.9,16.9,NA,NA,NA
"UNION","SC",NA,NA,NA,NA,NA
"UNION","SD",NA,NA,NA,NA,NA
"UNICOI","TN",NA,NA,NA,NA,NA
"UMATILLA","OR",NA,NA,NA,NA,NA
"ULSTER","NY",13,18.2,"Better Than National","Worse Than National",NA
"UINTAH","UT",NA,NA,NA,NA,NA
"UINTA","WY",NA,NA,NA,NA,NA
"TYLER","TX",NA,NA,NA,NA,NA
"TYLER","WV",NA,NA,NA,NA,NA
"TWIN FALLS","ID",15,16.6,"Worse Than National",NA,NA
"TUSCOLA","MI",NA,NA,NA,NA,NA
