"County","State","Count_Hospitals","Count_Total_Hospitals","percent_good"
"LOS ANGELES","CA",31,83,37.3493975903614
"COOK","IL",19,49,38.7755102040816
"CUYAHOGA","OH",10,17,58.8235294117647
"SUFFOLK","NY",9,11,81.8181818181818
"MARICOPA","AZ",8,37,21.6216216216216
"MIDDLESEX","MA",7,11,63.6363636363636
"NEW YORK","NY",7,12,58.3333333333333
"OAKLAND","MI",7,12,58.3333333333333
"ORANGE","CA",7,27,25.9259259259259
"PHILADELPHIA","PA",7,17,41.1764705882353
"WAYNE","MI",7,15,46.6666666666667
"ALAMEDA","CA",6,13,46.1538461538462
"PROVIDENCE","RI",6,7,85.7142857142857
"SAN DIEGO","CA",6,16,37.5
"BROWARD","FL",5,14,35.7142857142857
"ESSEX","NJ",5,7,71.4285714285714
"HARRIS","TX",5,40,12.5
"MIAMI-DADE","FL",5,21,23.8095238095238
"MONMOUTH","NJ",5,5,100
"NASSAU","NY",5,10,50
"ALLEGHENY","PA",4,18,22.2222222222222
"HILLSBOROUGH","FL",4,10,40
"HILLSBOROUGH","NH",4,5,80
"KINGS","NY",4,13,30.7692307692308
"OKLAHOMA","OK",4,18,22.2222222222222
"PINELLAS","FL",4,11,36.3636363636364
"SAN BERNARDINO","CA",4,18,22.2222222222222
"SUFFOLK","MA",4,13,30.7692307692308
"WESTCHESTER","NY",4,11,36.3636363636364
"WORCESTER","MA",4,9,44.4444444444444
"ANCHORAGE","AK",3,3,100
"BUCKS","PA",3,7,42.8571428571429
"CAMERON","TX",3,4,75
"COLLIN","TX",3,13,23.0769230769231
"DALLAS","TX",3,29,10.3448275862069
"DISTRICT OF COLUMBIA","DC",3,8,37.5
"DUVAL","FL",3,7,42.8571428571429
"HENNEPIN","MN",3,10,30
"JACKSON","MO",3,10,30
"JEFFERSON","KY",3,4,75
"LUCAS","OH",3,8,37.5
"MILWAUKEE","WI",3,10,30
"NEW HAVEN","CT",3,8,37.5
"PALM BEACH","FL",3,13,23.0769230769231
"SAINT TAMMANY","LA",3,8,37.5
"SAN JOAQUIN","CA",3,7,42.8571428571429
"VENTURA","CA",3,7,42.8571428571429
"ANOKA","MN",2,2,100
"AROOSTOOK","ME",2,4,50
"BARNSTABLE","MA",2,2,100
"BELL","TX",2,3,66.6666666666667
"BERGEN","NJ",2,6,33.3333333333333
"BRISTOL","MA",2,4,50
"BRONX","NY",2,6,33.3333333333333
"BUTLER","OH",2,4,50
"CHARLOTTE","FL",2,3,66.6666666666667
"CHESTER","PA",2,5,40
"DANE","WI",2,4,50
"DELAWARE","PA",2,5,40
"DOUGLAS","NE",2,10,20
"DUPAGE","IL",2,6,33.3333333333333
"EAU CLAIRE","WI",2,3,66.6666666666667
"EL PASO","CO",2,2,100
"ESSEX","MA",2,5,40
"FAIRFIELD","CT",2,6,33.3333333333333
"FULTON","GA",2,8,25
"GREENVILLE","SC",2,7,28.5714285714286
"HAMILTON","OH",2,10,20
"HAMPDEN","MA",2,6,33.3333333333333
"HARTFORD","CT",2,8,25
"HONOLULU","HI",2,10,20
"HUDSON","NJ",2,6,33.3333333333333
"JEFFERSON","AL",2,9,22.2222222222222
"JEFFERSON","CO",2,3,66.6666666666667
"KANE","IL",2,5,40
"LANCASTER","PA",2,4,50
"LEE","FL",2,4,50
"LEHIGH","PA",2,5,40
"LINN","IA",2,2,100
"LUBBOCK","TX",2,6,33.3333333333333
"MADISON","TN",2,2,100
"MARION","IN",2,9,22.2222222222222
"MECKLENBURG","NC",2,6,33.3333333333333
"MINNEHAHA","SD",2,6,33.3333333333333
"MISSOULA","MT",2,2,100
"MONROE","NY",2,5,40
"MONTGOMERY","OH",2,7,28.5714285714286
"MORRIS","NJ",2,3,66.6666666666667
"NEW CASTLE","DE",2,3,66.6666666666667
"NORFOLK","MA",2,4,50
"NORTHAMPTON","PA",2,3,66.6666666666667
"OKALOOSA","FL",2,3,66.6666666666667
"ORANGE","NY",2,4,50
"POTTAWATTAMIE","IA",2,2,100
"PULASKI","AR",2,9,22.2222222222222
"RAMSEY","MN",2,5,40
"RICHLAND","SC",2,3,66.6666666666667
"RIVERSIDE","CA",2,16,12.5
"SACRAMENTO","CA",2,9,22.2222222222222
"SAINT CLAIR","IL",2,3,66.6666666666667
"SAINT LOUIS","MN",2,8,25
"SAN FRANCISCO","CA",2,10,20
"SANTA BARBARA","CA",2,5,40
"SANTA CLARA","CA",2,10,20
"SANTA ROSA","FL",2,3,66.6666666666667
"SARASOTA","FL",2,4,50
"STARK","OH",2,4,50
"SUSSEX","DE",2,3,66.6666666666667
"TARRANT","TX",2,22,9.09090909090909
"TULSA","OK",2,12,16.6666666666667
"UTAH","UT",2,5,40
"VIRGINIA BEACH CITY","VA",2,2,100
"WASHTENAW","MI",2,4,50
"WESTMORELAND","PA",2,3,66.6666666666667
"WILL","IL",2,3,66.6666666666667
"WINNEBAGO","IL",2,3,66.6666666666667
"WINNEBAGO","WI",2,4,50
"YAMHILL","OR",2,2,100
"YORK","ME",2,2,100
"YORK","PA",2,5,40
"ADA","ID",1,3,33.3333333333333
"ADAIR","MO",1,1,100
"ADAMS","CO",1,4,25
"ALBANY","NY",1,3,33.3333333333333
"ALEXANDRIA CITY","VA",1,1,100
"ALLEN","IN",1,6,16.6666666666667
"ALLEN","OH",1,4,25
"ANDROSCOGGIN","ME",1,2,50
"ANGELINA","TX",1,2,50
"ASHTABULA","OH",1,4,25
"AUDRAIN","MO",1,1,100
"BANNOCK","ID",1,1,100
"BARREN","KY",1,1,100
"BARTOW","GA",1,1,100
"BERKS","PA",1,3,33.3333333333333
"BERNALILLO","NM",1,5,20
"BLACK HAWK","IA",1,3,33.3333333333333
"BLUE EARTH","MN",1,1,100
"BOONE","KY",1,1,100
"BOULDER","CO",1,4,25
"BRADFORD","PA",1,3,33.3333333333333
"BRAZORIA","TX",1,3,33.3333333333333
"BROWN","SD",1,2,50
"BROWN","WI",1,4,25
"BUCHANAN","MO",1,1,100
"BUNCOMBE","NC",1,1,100
"BUTLER","KS",1,2,50
"BUTTE","CA",1,4,25
"CABELL","WV",1,2,50
"CACHE","UT",1,2,50
"CALCASIEU","LA",1,5,20
"CALHOUN","MI",1,2,50
"CAMDEN","NJ",1,4,25
"CAPE MAY","NJ",1,1,100
"CARBON","PA",1,2,50
"CAYUGA","NY",1,1,100
"CHAMPAIGN","IL",1,2,50
"CHARLOTTESVILLE CITY","VA",1,1,100
"CHATTOOGA","GA",1,1,100
"CHAVES","NM",1,2,50
"CLARK","KY",1,1,100
"CLARK","NV",1,17,5.88235294117647
"CLARKE","GA",1,2,50
"CLEARFIELD","PA",1,2,50
"COBB","GA",1,2,50
"COLLIER","FL",1,2,50
"COLUMBIA","FL",1,2,50
"COLUMBIANA","OH",1,2,50
