"County","State","Count_Hospitals","Count_Total_Hospitals","percent_good"
"LOS ANGELES","CA",31,83,37.3493975903614
"COOK","IL",19,49,38.7755102040816
"CUYAHOGA","OH",10,17,58.8235294117647
"SUFFOLK","NY",9,11,81.8181818181818
"MARICOPA","AZ",8,37,21.6216216216216
"MIDDLESEX","MA",7,11,63.6363636363636
"NEW YORK","NY",7,12,58.3333333333333
"OAKLAND","MI",7,12,58.3333333333333
"ORANGE","CA",7,27,25.9259259259259
"PHILADELPHIA","PA",7,17,41.1764705882353
"WAYNE","MI",7,15,46.6666666666667
