"County","State","Count_Hospitals","Count_Total_Hospitals","percent_bad"
"CLARK","NV",9,17,52.9411764705882
"DALLAS","TX",7,29,24.1379310344828
"HARRIS","TX",7,40,17.5
"RIVERSIDE","CA",6,16,37.5
"KING","WA",5,17,29.4117647058824
"TARRANT","TX",5,22,22.7272727272727
"BREVARD","FL",4,7,57.1428571428571
"MARICOPA","AZ",4,37,10.8108108108108
"MARION","IN",4,9,44.4444444444444
"MIAMI-DADE","FL",4,21,19.047619047619
"PALM BEACH","FL",4,13,30.7692307692308
"QUEENS","NY",4,8,50
"SAN DIEGO","CA",4,16,25
"ALLEGHENY","PA",3,18,16.6666666666667
"COOK","IL",3,49,6.12244897959184
"DAVIDSON","TN",3,9,33.3333333333333
"DUVAL","FL",3,7,42.8571428571429
"EAST BATON ROUGE","LA",3,7,42.8571428571429
"EL PASO","TX",3,8,37.5
"ESCAMBIA","FL",3,3,100
"FAYETTE","KY",3,5,60
"FULTON","GA",3,8,37.5
"JEFFERSON","AL",3,9,33.3333333333333
"JOHNSON","KS",3,10,30
"KINGS","NY",3,13,23.0769230769231
"LAFAYETTE","LA",3,8,37.5
"LOS ANGELES","CA",3,83,3.6144578313253
"LUCAS","OH",3,8,37.5
"MADISON","IL",3,5,60
"MERCER","NJ",3,4,75
"MOBILE","AL",3,5,60
"OKLAHOMA","OK",3,18,16.6666666666667
"SANTA CLARA","CA",3,10,30
"TRAVIS","TX",3,12,25
"ALLEN","IN",2,6,33.3333333333333
"BENTON","WA",2,3,66.6666666666667
"BEXAR","TX",2,13,15.3846153846154
"BIBB","GA",2,3,66.6666666666667
"BROWARD","FL",2,14,14.2857142857143
"CATAWBA","NC",2,2,100
"CHATHAM","GA",2,3,66.6666666666667
"CLARK","WA",2,2,100
"COLE","MO",2,2,100
"COLLIN","TX",2,13,15.3846153846154
"CUMBERLAND","PA",2,2,100
"ERIE","NY",2,6,33.3333333333333
"ETOWAH","AL",2,2,100
"FAIRFIELD","CT",2,6,33.3333333333333
"FRANKLIN","OH",2,10,20
"GENESEE","MI",2,3,66.6666666666667
"HAMILTON","TN",2,3,66.6666666666667
"HINDS","MS",2,5,40
"HONOLULU","HI",2,10,20
"INGHAM","MI",2,2,100
"JACKSON","MO",2,10,20
"JASPER","MO",2,3,66.6666666666667
"KALAMAZOO","MI",2,2,100
"KANE","IL",2,5,40
"KENNEBEC","ME",2,2,100
"KERN","CA",2,10,20
"KNOX","IL",2,2,100
"KNOX","TN",2,5,40
"LA CROSSE","WI",2,2,100
"LACKAWANNA","PA",2,3,66.6666666666667
"LAKE","IN",2,9,22.2222222222222
"LEON","FL",2,2,100
"LUZERNE","PA",2,3,66.6666666666667
"MAHONING","OH",2,4,50
"MCCRACKEN","KY",2,3,66.6666666666667
"MOHAVE","AZ",2,4,50
"MONTGOMERY","PA",2,10,20
"MUSCOGEE","GA",2,3,66.6666666666667
"NACOGDOCHES","TX",2,2,100
"NASSAU","NY",2,10,20
"OCEAN","NJ",2,4,50
"ORANGE","CA",2,27,7.40740740740741
"ORANGE","FL",2,4,50
"OUTAGAMIE","WI",2,3,66.6666666666667
"PASSAIC","NJ",2,2,100
"PIMA","AZ",2,9,22.2222222222222
"PINELLAS","FL",2,11,18.1818181818182
"POLK","FL",2,5,40
"POLK","IA",2,4,50
"PULASKI","AR",2,9,22.2222222222222
"RICHMOND","GA",2,4,50
"ROCKINGHAM","NH",2,3,66.6666666666667
"SACRAMENTO","CA",2,9,22.2222222222222
"SAINT LAWRENCE","NY",2,5,40
"SAINT LOUIS","MO",2,10,20
"SAN BERNARDINO","CA",2,18,11.1111111111111
"SAN JUAN","PR",2,15,13.3333333333333
"SAN LUIS OBISPO","CA",2,3,66.6666666666667
"SHELBY","TN",2,8,25
"ST JOSEPH","IN",2,3,66.6666666666667
"UNION","NJ",2,3,66.6666666666667
"WAYNE","MI",2,15,13.3333333333333
"","GU",1,2,50
"","MP",1,1,100
"","VI",1,2,50
"ADAMS","MS",1,1,100
"AIKEN","SC",1,1,100
"ALACHUA","FL",1,2,50
"ALAMANCE","NC",1,1,100
"ALAMEDA","CA",1,13,7.69230769230769
"ALBEMARLE","VA",1,1,100
"ALCORN","MS",1,1,100
"ALLEGANY","NY",1,2,50
"ALLEGHANY","VA",1,1,100
"AMADOR","CA",1,1,100
"ANDERSON","TN",1,1,100
"ANDROSCOGGIN","ME",1,2,50
"ARAPAHOE","CO",1,3,33.3333333333333
"ASHLAND","WI",1,1,100
"BAXTER","AR",1,1,100
"BAY","MI",1,1,100
"BAYAMON","PR",1,4,25
"BELL","KY",1,2,50
"BENNINGTON","VT",1,1,100
"BERKELEY","WV",1,1,100
"BERKS","PA",1,3,33.3333333333333
"BERKSHIRE","MA",1,2,50
"BERRIEN","MI",1,2,50
"BLACK HAWK","IA",1,3,33.3333333333333
"BOONE","AR",1,1,100
"BOONE","MO",1,2,50
"BOSSIER","LA",1,1,100
"BOULDER","CO",1,4,25
"BRANCH","MI",1,1,100
"BRAZOS","TX",1,4,25
"BRISTOL","MA",1,4,25
"BRONX","NY",1,6,16.6666666666667
"BROOME","NY",1,2,50
"BROWN","WI",1,4,25
"BULLOCH","GA",1,1,100
"BURLINGTON","NJ",1,4,25
"BUTLER","MO",1,2,50
"CABARRUS","NC",1,1,100
"CABELL","WV",1,2,50
"CAGUAS","PR",1,2,50
"CALDWELL","NC",1,1,100
"CALEDONIA","VT",1,1,100
"CALHOUN","MI",1,2,50
"CALLOWAY","KY",1,1,100
"CAMDEN","MO",1,1,100
"CAMDEN","NJ",1,4,25
"CAMERON","TX",1,4,25
"CAMPBELL","KY",1,1,100
"CAPE GIRARDEAU","MO",1,2,50
"CARROLL","GA",1,2,50
"CARTER","OK",1,2,50
"CARTERET","NC",1,1,100
"CASCADE","MT",1,2,50
"CATOOSA","GA",1,1,100
"CERRO GORDO","IA",1,1,100
"CHEROKEE","GA",1,1,100
"CHESAPEAKE CITY","VA",1,1,100
"CHESHIRE","NH",1,1,100
"CHESTER","PA",1,5,20
"CHESTERFIELD","VA",1,2,50
"CHICOT","AR",1,1,100
"CLALLAM","WA",1,2,50
"CLAY","FL",1,2,50
"CLAYTON","GA",1,1,100
"CLERMONT","OH",1,1,100
"CLEVELAND","NC",1,2,50
"COCHISE","AZ",1,4,25
"COLBERT","AL",1,2,50
"COLUMBIA","NY",1,1,100
"COLUMBIA","PA",1,2,50
"COLUMBUS","NC",1,1,100
"CONTRA COSTA","CA",1,7,14.2857142857143
"CRAWFORD","PA",1,2,50
"CULLMAN","AL",1,1,100
"CULPEPER","VA",1,1,100
"CUMBERLAND","ME",1,4,25
"CUMBERLAND","TN",1,2,50
"DAKOTA","MN",1,3,33.3333333333333
"DALLAS","AL",1,1,100
"DANVILLE CITY","VA",1,1,100
"DAVIESS","IN",1,1,100
"DAVIS","UT",1,2,50
"DAVISON","SD",1,1,100
"DE KALB","AL",1,1,100
"DEARBORN","IN",1,1,100
"DECATUR","TN",1,1,100
"DEKALB","GA",1,4,25
"DELTA","CO",1,1,100
"DENTON","TX",1,9,11.1111111111111
"DESCHUTES","OR",1,2,50
"DILLON","SC",1,1,100
"DODGE","NE",1,1,100
"DONA ANA","NM",1,2,50
"DOOR","WI",1,1,100
"DOUGHERTY","GA",1,1,100
"DOUGLAS","NE",1,10,10
"DUNKLIN","MO",1,1,100
"DUPLIN","NC",1,1,100
"DURHAM","NC",1,3,33.3333333333333
"EFFINGHAM","IL",1,1,100
"ELKHART","IN",1,2,50
"ERIE","PA",1,4,25
"ESCAMBIA","AL",1,2,50
"ESSEX","MA",1,5,20
"FAIRFAX","VA",1,4,25
"FAUQUIER","VA",1,1,100
"FAYETTE","PA",1,2,50
"FLOYD","GA",1,2,50
"FORT BEND","TX",1,6,16.6666666666667
"FRANKLIN","AL",1,2,50
"FRANKLIN","LA",1,1,100
"FRANKLIN","ME",1,1,100
"FRANKLIN","TN",1,1,100
"FRANKLIN","VT",1,1,100
"FREEBORN","MN",1,1,100
"GALAX CITY","VA",1,1,100
"GALLIA","OH",1,1,100
"GARLAND","AR",1,3,33.3333333333333
"GLYNN","GA",1,1,100
"GRAND FORKS","ND",1,2,50
"GRANT","WA",1,4,25
"GRANVILLE","NC",1,1,100
"GREENBRIER","WV",1,1,100
"GREENE","AR",1,1,100
"GREENWOOD","SC",1,1,100
"GREGG","TX",1,3,33.3333333333333
"GUADALUPE","TX",1,1,100
"GWINNETT","GA",1,2,50
"HAMBLEN","TN",1,2,50
"HAMILTON","OH",1,10,10
"HAMPDEN","MA",1,6,16.6666666666667
"HAMPTON CITY","VA",1,1,100
"HARLAN","KY",1,1,100
"HARRISON","MS",1,3,33.3333333333333
"HARTFORD","CT",1,8,12.5
"HENDERSON","KY",1,1,100
"HENRY","GA",1,1,100
"HENRY","TN",1,1,100
"HERNANDO","FL",1,2,50
"HILLSBOROUGH","FL",1,10,10
"HOOD","TX",1,1,100
"HOPEWELL CITY","VA",1,1,100
"HOPKINS","TX",1,1,100
"HOUGHTON","MI",1,2,50
"HOUSTON","AL",1,2,50
"HOWARD","TX",1,1,100
"HOWELL","MO",1,2,50
"IMPERIAL","CA",1,2,50
"INDEPENDENCE","AR",1,1,100
"INDIAN RIVER","FL",1,2,50
"IRON","MI",1,1,100
"JACKSON","FL",1,2,50
"JACKSON","IN",1,1,100
"JEFFERSON","AR",1,1,100
"JEFFERSON","IL",1,2,50
"JEFFERSON","LA",1,5,20
"JEFFERSON","NY",1,3,33.3333333333333
"JEFFERSON","TX",1,3,33.3333333333333
"JEFFERSON DAVIS","LA",1,1,100
"JOHNSON","AR",1,1,100
"KENOSHA","WI",1,2,50
"KENT","MI",1,3,33.3333333333333
"KINGS","CA",1,2,50
"KITSAP","WA",1,1,100
"KNOX","OH",1,1,100
"KOSCIUSKO","IN",1,1,100
"LA PORTE","IN",1,2,50
"LAKE","FL",1,3,33.3333333333333
"LAKE","IL",1,6,16.6666666666667
"LANE","OR",1,5,20
"LARIMER","CO",1,5,20
"LAUDERDALE","AL",1,1,100
"LAUDERDALE","MS",1,4,25
"LAWRENCE","IN",1,2,50
"LEE","AL",1,1,100
"LEE","IA",1,2,50
"LEE","NC",1,1,100
"LEFLORE","MS",1,1,100
"LENAWEE","MI",1,2,50
"LEWIS","WV",1,1,100
"LINCOLN","LA",1,1,100
"LOUDOUN","VA",1,2,50
"LOWNDES","MS",1,1,100
"LUBBOCK","TX",1,6,16.6666666666667
"MACON","IL",1,2,50
"MADISON","IN",1,3,33.3333333333333
"MADISON","NE",1,1,100
"MANASSAS CITY","VA",1,1,100
"MANATEE","FL",1,3,33.3333333333333
"MANITOWOC","WI",1,2,50
"MARATHON","WI",1,2,50
"MARION","FL",1,2,50
"MARSHALL","AL",1,1,100
"MARSHALL","IA",1,1,100
"MARSHALL","WV",1,1,100
"MASON","WV",1,1,100
"MATAGORDA","TX",1,2,50
"MATANUSKA SUSITNA","AK",1,1,100
"MAVERICK","TX",1,1,100
"MAYAGUEZ","PR",1,3,33.3333333333333
