"County","State","Count_Hospitals","Count_Total_Hospitals","percent_bad"
"CLARK","NV",9,17,52.9411764705882
"DALLAS","TX",7,29,24.1379310344828
"HARRIS","TX",7,40,17.5
"RIVERSIDE","CA",6,16,37.5
"KING","WA",5,17,29.4117647058824
"TARRANT","TX",5,22,22.7272727272727
"BREVARD","FL",4,7,57.1428571428571
"MARICOPA","AZ",4,37,10.8108108108108
"MARION","IN",4,9,44.4444444444444
"MIAMI-DADE","FL",4,21,19.047619047619
"PALM BEACH","FL",4,13,30.7692307692308
"QUEENS","NY",4,8,50
"SAN DIEGO","CA",4,16,25
