"State","County","Smokers","Obesity","Physically_Inactive","Excessive_Drinking","Chlamydia","Primary_Care_Physicians","Medicare_Enrollees"
"AL","Autauga",19,31,29,15,0.416,22,4921
"AL","Baldwin",19,27,25,15,0.308,147,23601
"AL","Barbour",21,41,33,12,0.632,10,3195
"AL","Bibb",21,40,33,14,0.367,8,1927
"AL","Blount",19,32,29,14,0.159,15,4615
"AL","Bullock",22,45,33,11,0.993,4,1119
"AL","Butler",23,36,34,11,0.773,8,2828
"AL","Calhoun",24,32,34,13,0.68,74,16577
"AL","Chambers",21,40,35,12,0.901,13,4968
"AL","Cherokee",20,33,31,13,0.223,6,3163
"AL","Chilton",21,37,32,14,0.338,8,3330
"AL","Choctaw",19,39,34,11,0.433,5,2312
"AL","Clarke",21,36,30,11,0.763,12,3500
"AL","Clay",20,38,36,12,0.521,5,2041
"AL","Cleburne",19,30,33,14,0.324,4,2059
"AL","Coffee",19,30,29,13,0.597,24,6647
"AL","Colbert",19,37,30,13,0.549,30,8535
"AL","Conecuh",24,37,34,10,0.578,5,1913
"AL","Coosa",22,39,31,12,0.447,1,1590
"AL","Covington",20,32,36,13,0.4,18,6356
"AL","Crenshaw",20,37,32,13,0.575,2,2016
"AL","Cullman",20,35,28,14,0.295,46,10430
"AL","Dale",20,36,28,14,0.597,13,5640
"AL","Dallas",25,42,34,10,1.208,34,4737
"AL","DeKalb",19,31,32,13,0.246,31,8111
"AL","Elmore",19,30,30,15,0.487,25,8761
"AL","Escambia",23,39,33,13,0.487,16,5243
"AL","Etowah",22,35,33,13,0.695,81,14383
"AL","Fayette",21,32,31,13,0.371,7,2534
"AL","Franklin",20,34,35,13,0.318,15,4683
"AL","Geneva",22,35,31,13,0.46,7,4287
"AL","Greene",27,46,33,9,1.296,3,1141
"AL","Hale",22,36,35,10,1.261,2,1992
"AL","Henry",18,35,29,13,0.607,5,2925
"AL","Houston",19,34,31,14,0.697,93,13561
"AL","Jackson",20,31,32,13,0.243,32,8359
"AL","Jefferson",17,34,28,15,0.802,670,50707
"AL","Lamar",21,33,33,12,0.33,NA,2416
"AL","Lauderdale",19,32,30,14,0.383,46,13913
"AL","Lawrence",20,36,35,14,0.296,8,5416
"AL","Lee",20,30,23,16,0.519,69,12144
"AL","Limestone",19,34,32,15,0.249,29,9158
"AL","Lowndes",23,46,31,10,1.188,1,1477
"AL","Macon",24,42,31,10,1.222,6,2206
"AL","Madison",20,31,25,14,0.534,305,38648
"AL","Marengo",22,41,35,11,0.647,7,2958
"AL","Marion",20,35,36,13,0.221,19,4732
"AL","Marshall",20,35,32,14,0.253,58,13103
"AL","Mobile",21,36,30,15,0.792,272,32164
"AL","Monroe",22,37,32,11,0.544,6,2827
"AL","Montgomery",20,34,28,13,1.32,205,20403
"AL","Morgan",19,32,31,14,0.42,61,15480
"AL","Perry",25,38,33,10,1.13,3,1474
"AL","Pickens",22,37,34,11,0.654,7,2982
"AL","Pike",22,34,29,13,1.004,17,3902
"AL","Randolph",20,33,31,13,0.472,8,3289
"AL","Russell",21,35,31,13,0.797,16,5427
"AL","St. Clair",20,33,29,14,0.258,21,6461
"AL","Shelby",16,31,24,17,0.198,174,17281
"AL","Sumter",24,40,31,10,1.355,6,1585
"AL","Talladega",22,38,34,12,0.663,26,8927
"AL","Tallapoosa",21,37,32,13,0.564,19,5976
"AL","Tuscaloosa",20,33,28,15,0.785,146,20110
"AL","Walker",22,33,34,13,0.485,32,7989
"AL","Washington",20,36,33,14,0.491,3,2318
"AL","Wilcox",25,44,32,10,1.443,3,1528
"AL","Winston",22,29,31,13,0.224,8,3993
"AK","Aleutians East",20,31,29,18,0.538,NA,NA
"AK","Aleutians West",18,36,24,19,0.216,NA,NA
"AK","Anchorage",16,27,18,23,0.865,291,23938
"AK","Bethel",34,32,27,21,2.091,18,996
"AK","Bristol Bay",21,34,23,23,NA,0,NA
"AK","Denali",18,25,18,23,0.267,0,NA
"AK","Dillingham",32,35,26,20,1.41,8,354
"AK","Fairbanks North Star",16,29,20,23,0.648,74,6830
"AK","Haines",18,27,20,19,0.274,5,NA
"AK","Juneau",17,27,16,23,0.645,35,3144
"AK","Kenai Peninsula",20,28,24,24,0.316,43,7203
"AK","Ketchikan Gateway",20,29,22,22,0.639,13,1568
"AK","Kodiak Island",17,29,20,22,0.323,20,1069
"AK","Lake and Peninsula",31,32,23,21,0.967,0,NA
"AK","Matanuska-Susitna",21,29,22,22,0.549,53,7998
"AK","Nome",35,33,27,19,2.431,8,620
"AK","North Slope",25,35,25,23,1.804,2,596
"AK","Northwest Arctic",35,33,26,21,2.394,2,418
"AK","Prince of Wales-Outer Ketchikan",25,35,29,20,NA,4,687
"AK","Sitka",18,27,17,21,0.133,18,1009
"AK","Skagway-Hoonah-Angoon",21,31,20,21,NA,NA,NA
"AK","Southeast Fairbanks",20,33,21,21,0.182,4,1012
"AK","Valdez-Cordova",19,30,23,22,0.381,7,1010
"AK","Wade Hampton",41,34,28,18,2.407,NA,393
"AK","Wrangell-Petersburg",19,30,21,21,NA,11,885
"AK","Yakutat",21,32,25,22,NA,0,NA
"AK","Yukon-Koyukuk",32,27,25,20,1.213,3,616
"AZ","Apache",26,33,22,15,0.822,21,7090
"AZ","Cochise",16,25,23,15,0.331,58,16068
"AZ","Coconino",20,22,16,19,0.661,112,13479
"AZ","Gila",18,27,26,13,0.497,31,10549
"AZ","Graham",18,32,23,17,0.353,24,2770
"AZ","Greenlee",17,33,24,18,0.295,4,758
"AZ","La Paz",16,32,30,13,0.301,7,3587
"AZ","Maricopa",15,22,20,17,0.48,2839,272084
"AZ","Mohave",20,28,32,15,0.259,96,34618
"AZ","Navajo",23,31,24,15,0.865,76,12022
"AZ","Pima",15,22,18,16,0.523,828,82176
"AZ","Pinal",17,30,26,16,0.316,58,30531
"AZ","Santa Cruz",15,21,19,15,0.279,18,3276
"AZ","Yavapai",15,25,20,15,0.16,140,39444
"AZ","Yuma",15,30,28,16,0.431,87,19258
"AR","Arkansas",22,34,37,14,0.593,10,2846
"AR","Ashley",24,40,34,13,0.915,6,3283
"AR","Baxter",20,29,32,13,0.231,35,8823
"AR","Benton",19,28,25,16,0.241,135,19651
"AR","Boone",22,29,33,15,0.281,26,5531
"AR","Bradley",25,37,37,12,0.404,6,1681
"AR","Calhoun",22,35,36,13,0.226,1,657
