"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Death_Score","Lower","Higher","Readmission_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL",36301,"HOUSTON","MORT_30_AMI","No Different than the National Rate",12.5,"10.6","14.9",16.5,"Better Than National",NA,NA
10005,"MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL",35957,"MARSHALL","MORT_30_AMI","No Different than the National Rate",16,"12.5","20.0",16.7,"Worse Than National",NA,NA
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL",35631,"LAUDERDALE","MORT_30_AMI","No Different than the National Rate",16.7,"13.7","20.1",16.1,"Worse Than National","Better Than National",NA
10007,"MIZELL MEMORIAL HOSPITAL","OPP","AL",36467,"COVINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10008,"CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL",36049,"CRENSHAW","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10011,"ST VINCENT'S EAST","BIRMINGHAM","AL",35235,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",13.9,"11.1","17.1",17.7,NA,"Worse Than National",NA
10012,"DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL",35968,"DE KALB","MORT_30_AMI","No Different than the National Rate",16.8,"13.4","20.8",16.1,"Worse Than National","Better Than National",NA
10016,"SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL",35007,"SHELBY","MORT_30_AMI","No Different than the National Rate",14.7,"11.6","18.2",17.7,NA,"Worse Than National",NA
10018,"CALLAHAN EYE HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10019,"HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL",35660,"COLBERT","MORT_30_AMI","No Different than the National Rate",15.6,"11.7","20.2",NA,"Worse Than National",NA,NA
10021,"DALE MEDICAL CENTER","OZARK","AL",36360,"DALE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10022,"CHEROKEE MEDICAL CENTER","CENTRE","AL",35960,"CHEROKEE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10023,"BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL",36116,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",13.4,"10.8","16.5",18.1,NA,"Worse Than National",NA
10024,"JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL",36106,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",14.8,"12.2","17.9",17.9,NA,"Worse Than National",NA
10029,"EAST ALABAMA MEDICAL CENTER","OPELIKA","AL",36801,"LEE","MORT_30_AMI","No Different than the National Rate",15.5,"12.4","19.2",16.8,"Worse Than National",NA,NA
10032,"WEDOWEE HOSPITAL","WEDOWEE","AL",36278,"RANDOLPH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10033,"UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",12.4,"10.0","15.4",18,"Better Than National","Worse Than National",NA
10034,"COMMUNITY HOSPITAL INC","TALLASSEE","AL",36078,"ELMORE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
