"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1","ABBEVILLE","SC",NA,NA,NA,NA,NA
"2","ACADIA","LA",5.84,9.2,0.15,1.05,NA
"3","ADA","ID",7.33,16.91,0.31,1.12,143.67
"4","ADAIR","IA",NA,NA,NA,NA,NA
"5","ADAIR","KY",NA,NA,0.17,0.9,NA
"6","ADAIR","MO",3.97,9.8,0.14,0.71,116.82
"7","ADAIR","OK",5.01,NA,0.17,0.86,NA
"8","ADAMS","CO",7.72,12.12,0.3,1.13,153.31
"9","ADAMS","IA",NA,NA,NA,NA,NA
"10","ADAMS","IL",4.22,9.16,0.19,1.04,119.59
"11","ADAMS","IN",NA,NA,NA,NA,NA
"12","ADAMS","MS",4.67,9.73,0.15,0.85,NA
"13","ADAMS","ND",NA,NA,NA,NA,NA
"14","ADAMS","NE",7.83,10.67,0.15,1.04,132.99
"15","ADAMS","OH",NA,NA,NA,NA,NA
"16","ADAMS","PA",5,9.54,0.14,0.77,NA
"17","ADAMS","WA",NA,NA,NA,NA,NA
"18","ADAMS","WI",NA,NA,NA,NA,NA
"19","ADDISON","VT",NA,NA,NA,NA,NA
"20","AGUADILLA","PR",NA,NA,NA,NA,NA
"21","AIBONITO","PR",NA,NA,NA,NA,NA
"22","AIKEN","SC",5.34,8.13,0.3,0.92,140.79
"23","AITKIN","MN",NA,NA,NA,NA,NA
"24","ALACHUA","FL",5.22,14.2,0.2,0.81,147.04
"25","ALAMANCE","NC",2.21,12.37,0.13,0.67,151.83
"26","ALAMEDA","CA",12.01,13.34,0.26,1.76,169.53
"27","ALAMOSA","CO",5.21,11.19,0.15,0.81,NA
"28","ALBANY","NY",7.01,10.92,0.25,1.02,153.56
"29","ALBANY","WY",3.67,11,0.16,0.85,NA
"30","ALBEMARLE","VA",6.02,11.43,0.1,0.98,167.01
"31","ALCORN","MS",3.69,14.47,0.11,1.03,167.84
"32","ALEXANDRIA CITY","VA",5.81,18.27,0.25,0.88,125.65
"33","ALGER","MI",NA,NA,NA,NA,NA
"34","ALLAMAKEE","IA",NA,NA,NA,NA,NA
"35","ALLEGAN","MI",NA,NA,NA,NA,NA
"36","ALLEGANY","MD",NA,NA,NA,NA,NA
"37","ALLEGANY","NY",4.69,NA,0.16,1.02,NA
"38","ALLEGHANY","NC",NA,NA,NA,NA,NA
"39","ALLEGHANY","VA",3.91,9.58,0.16,0.77,NA
"40","ALLEGHENY","PA",8.76,14.58,0.23,1.11,155.65
"41","ALLEN","IN",7.55,14.07,0.17,1.17,149.78
"42","ALLEN","KS",NA,NA,NA,NA,NA
"43","ALLEN","KY",NA,NA,NA,NA,NA
"44","ALLEN","LA",4.89,NA,0.17,0.9,NA
"45","ALLEN","OH",5.46,15.05,0.17,0.84,130.04
"46","ALLENDALE","SC",NA,NA,NA,NA,NA
"47","ALPENA","MI",3.65,9.44,0.13,0.75,132.98
"48","AMADOR","CA",5.63,11.27,0.15,1.32,146.35
"49","ANCHORAGE","AK",5.95,14,0.33,1.14,163.08
"50","ANDERSON","KS",NA,NA,NA,NA,NA
"51","ANDERSON","SC",5.39,8.79,0.13,0.84,108.28
"52","ANDERSON","TN",4.04,8.71,0.17,0.87,152.79
"53","ANDERSON","TX",4.78,9.28,0.15,0.8,119.44
"54","ANDREWS","TX",NA,NA,0.17,0.87,NA
"55","ANDROSCOGGIN","ME",3.56,10.82,0.39,1.08,145.61
"56","ANGELINA","TX",4.99,12.57,0.13,1.1,123
"57","ANNE ARUNDEL","MD",NA,NA,NA,NA,NA
"58","ANOKA","MN",4.54,11.1,0.13,0.86,125.62
"59","ANSON","NC",NA,NA,0.17,0.9,NA
"60","ANTELOPE","NE",NA,NA,NA,NA,NA
"61","APACHE","AZ",4.92,NA,0.16,0.86,NA
"62","APPANOOSE","IA",NA,NA,NA,NA,NA
"63","APPLING","GA",5.08,NA,0.16,0.86,NA
"64","ARAPAHOE","CO",7.11,10.24,0.2,0.87,131.89
"65","ARCHULETA","CO",NA,NA,NA,NA,NA
"66","ARECIBO","PR",NA,NA,NA,NA,NA
"67","ARENAC","MI",NA,NA,NA,NA,NA
"68","ARKANSAS","AR",5.13,NA,0.17,0.85,NA
"69","ARLINGTON","VA",6.81,6.1,0.09,0.79,104.93
"70","ARMSTRONG","PA",3.83,9.89,0.15,0.7,NA
"71","AROOSTOOK","ME",4.6,11.54,0.16,0.91,133.15
"72","ARROYO","PR",NA,NA,NA,NA,NA
"73","ASCENSION","LA",8.08,9.99,0.16,1.04,NA
"74","ASHE","NC",NA,NA,NA,NA,NA
"75","ASHLAND","OH",3.31,NA,0.16,0.69,NA
"76","ASHLAND","WI",NA,NA,NA,NA,NA
"77","ASHLEY","AR",NA,NA,NA,NA,NA
"78","ASHTABULA","OH",4.95,9.16,0.15,0.83,NA
"79","ASOTIN","WA",NA,NA,NA,NA,NA
"80","ASSUMPTION","LA",NA,NA,NA,NA,NA
"81","ATASCOSA","TX",4.38,9.82,0.16,0.78,NA
"82","ATCHISON","KS",NA,NA,NA,NA,NA
"83","ATCHISON","MO",NA,NA,NA,NA,NA
"84","ATHENS","OH",3.93,9.56,0.15,0.84,NA
"85","ATLANTIC","NJ",7.63,12.13,0.18,0.98,163.99
"86","ATOKA","OK",NA,NA,NA,NA,NA
"87","ATTALA","MS",NA,NA,NA,NA,NA
"88","AUDRAIN","MO",3.76,9.71,0.15,0.72,NA
"89","AUDUBON","IA",NA,NA,NA,NA,NA
"90","AUGLAIZE","OH",3.85,NA,0.16,0.7,NA
"91","AUGUSTA","VA",3.72,9.61,0.55,0.81,120.66
"92","AUSTIN","TX",NA,NA,0.17,0.9,NA
"93","AUTAUGA","AL",4.57,NA,0.15,0.87,NA
"94","AVERY","NC",NA,NA,NA,NA,NA
"95","AVOYELLES","LA",4.78,NA,0.16,0.78,NA
"96","BACA","CO",NA,NA,NA,NA,NA
"97","BACON","GA",NA,NA,NA,NA,NA
"98","BAILEY","TX",NA,NA,NA,NA,NA
"99","BAKER","FL",NA,NA,NA,NA,NA
"100","BAKER","OR",NA,NA,NA,NA,NA
"101","BALDWIN","AL",6.55,10.64,0.16,1,142.5
"102","BALDWIN","GA",3.85,NA,0.15,0.91,NA
"103","BALTIMORE","MD",NA,NA,NA,NA,NA
"104","BALTIMORE CITY","MD",NA,NA,NA,NA,NA
"105","BANNOCK","ID",4.56,12.46,0.13,0.88,141.99
"106","BARAGA","MI",NA,NA,NA,NA,NA
"107","BARBER","KS",NA,NA,NA,NA,NA
"108","BARBOUR","AL",4.91,NA,0.16,0.81,NA
"109","BARBOUR","WV",NA,NA,NA,NA,NA
"110","BARNES","ND",NA,NA,NA,NA,NA
"111","BARNSTABLE","MA",6.97,13.76,0.12,1.19,132.3
"112","BARREN","KY",3.78,9.48,0.13,0.74,155.33
"113","BARRON","WI",3.04,NA,0.16,0.73,NA
"114","BARROW","GA",5.5,NA,0.16,0.83,NA
"115","BARRY","MI",6.33,NA,0.16,1.24,NA
"116","BARRY","MO",NA,NA,NA,NA,NA
"117","BARTHOLOMEW","IN",3.41,9.66,0.12,0.76,137.3
"118","BARTON","KS",4.14,8.71,0.16,0.91,NA
"119","BARTON","MO",NA,NA,NA,NA,NA
"120","BARTOW","GA",4,9.81,0.33,0.77,128.67
"121","BASTROP","TX",NA,NA,0.17,0.9,NA
"122","BATES","MO",5.91,NA,0.17,0.99,NA
"123","BATH","VA",NA,NA,NA,NA,NA
"124","BAXTER","AR",3.02,9.59,0.21,0.75,146.85
"125","BAY","FL",4.2,11.66,0.14,0.77,129.25
"126","BAY","MI",7.61,9.75,0.07,0.8,135.54
"127","BAYAMON","PR",NA,NA,NA,NA,NA
"128","BAYLOR","TX",NA,NA,0.17,0.89,NA
"129","BEADLE","SD",NA,NA,NA,NA,NA
"130","BEAR LAKE","ID",NA,NA,NA,NA,NA
"131","BEAUFORT","NC",3.97,9.32,0.14,0.76,NA
"132","BEAUFORT","SC",7.52,7.99,0.13,0.91,154.85
"133","BEAUREGARD","LA",6.71,NA,0.15,1.02,NA
"134","BEAVER","OK",NA,NA,NA,NA,NA
"135","BEAVER","PA",5.04,9.07,0.12,1.24,109.45
"136","BEAVER","UT",NA,NA,0.17,0.9,NA
"137","BEAVERHEAD","MT",NA,NA,NA,NA,NA
"138","BECKER","MN",4.12,11.58,0.17,0.94,NA
"139","BECKHAM","OK",5.67,14.86,0.16,1.27,121.17
"140","BEDFORD","PA",4.55,NA,0.16,0.84,NA
"141","BEDFORD","TN",8.75,9.57,0.28,1.22,NA
"142","BEDFORD","VA",6.27,NA,0.16,0.98,NA
"143","BEE","TX",4.87,NA,0.16,0.95,NA
"144","BELKNAP","NH",4.68,7.12,0.13,0.96,142.18
"145","BELL","KY",4.83,NA,0.16,0.87,NA
"146","BELL","TX",6.39,11.96,0.15,0.81,135.3
"147","BELMONT","OH",4.73,NA,0.27,0.9,NA
"148","BELTRAMI","MN",3.25,12.49,0.17,0.9,143.88
"149","BEN HILL","GA",6.25,NA,0.17,1,NA
"150","BENEWAH","ID",NA,NA,NA,NA,NA
"151","BENNETT","SD",NA,NA,NA,NA,NA
"152","BENNINGTON","VT",3.87,9.66,0.12,0.76,NA
"153","BENTON","AR",4.49,15.14,0.16,0.9,108.75
"154","BENTON","IA",NA,NA,NA,NA,NA
"155","BENTON","OR",3.92,10.55,0.12,1.09,123.61
"156","BENTON","TN",NA,NA,NA,NA,NA
"157","BENTON","WA",3.87,10.83,0.25,0.76,157.03
"158","BENZIE","MI",NA,NA,NA,NA,NA
"159","BERGEN","NJ",10.18,14.83,0.25,1.14,175.25
"160","BERKELEY","WV",5.76,10.96,0.2,0.91,140.03
"161","BERKS","PA",7.06,13.28,0.41,1.33,128.37
"162","BERKSHIRE","MA",2.59,9.26,0.11,0.44,178.56
"163","BERNALILLO","NM",7.77,12.66,0.17,1.53,149.82
"164","BERRIEN","GA",NA,NA,0.17,0.9,NA
"165","BERRIEN","MI",4.45,11,0.17,0.84,132.93
"166","BERTIE","NC",NA,NA,NA,NA,NA
"167","BETHEL","AK",NA,NA,0.17,0.9,NA
"168","BEXAR","TX",7.61,11.89,0.25,1.33,148.66
"169","BIBB","AL",NA,NA,0.17,0.9,NA
"170","BIBB","GA",4.04,10.69,0.32,0.87,179.15
"171","BIENVILLE","LA",NA,NA,NA,NA,NA
"172","BIG HORN","MT",NA,NA,NA,NA,NA
"173","BIG HORN","WY",NA,NA,NA,NA,NA
"174","BIG STONE","MN",NA,NA,NA,NA,NA
"175","BINGHAM","ID",NA,NA,NA,0.9,NA
"176","BLACK HAWK","IA",7.08,9.29,0.2,1,138.56
"177","BLACKFORD","IN",NA,NA,NA,NA,NA
"178","BLADEN","NC",NA,NA,NA,NA,NA
"179","BLAINE","ID",NA,NA,NA,NA,NA
"180","BLAINE","MT",NA,NA,NA,NA,NA
"181","BLAINE","OK",NA,NA,NA,NA,NA
"182","BLAIR","PA",6.94,12.91,0.16,0.92,161.75
"183","BLECKLEY","GA",NA,NA,NA,NA,NA
"184","BLEDSOE","TN",NA,NA,NA,NA,NA
"185","BLOUNT","AL",NA,NA,NA,NA,NA
