"State","County","percent_smoking"
"AK","Aleutians East",15.6
"AK","Aleutians West",17.7
"AK","Anchorage",13.1
"AK","Bethel",22.1
"AK","Bristol Bay",19.6
"AK","Denali/Yukon-Koyukuk",21.6
"AK","Dillingham",21
"AK","Fairbanks North Star",14.8
"AK","Haines",11.6
"AK","Hoonah-Angoon/Skagway/Yakutat and",13.9
"AK","Juneau and",12.3
"AK","Kenai Peninsula",16.6
"AK","Ketchikan Gateway/Petersburg/Prince of Wales-Hyder/Wrangell and",15.3
"AK","Kodiak Island",15.2
"AK","Lake and Peninsula",19.5
"AK","Matanuska-Susitna",17.1
"AK","Nome",25.5
"AK","North Slope",25.5
"AK","Northwest Arctic",29.8
"AK","Sitka and",12.8
"AK","Southeast Fairbanks",16.4
"AK","Valdez-Cordova",15.5
"AK","Wade Hampton",25.1
"AL","Autauga",18.4
"AL","Baldwin",16
"AL","Barbour",18.7
"AL","Bibb",22.6
"AL","Blount",19.9
"AL","Bullock",18.5
"AL","Butler",20.2
"AL","Calhoun",19.9
"AL","Chambers",21
"AL","Cherokee",19.8
"AL","Chilton",21.1
"AL","Choctaw",17.6
"AL","Clarke",17.7
"AL","Clay",22.5
"AL","Cleburne",22.8
"AL","Coffee",16.7
"AL","Colbert",18.7
"AL","Conecuh",19.8
"AL","Coosa",22.5
"AL","Covington",21.4
"AL","Crenshaw",20.4
"AL","Cullman",20.1
"AL","Dale",17.6
"AL","Dallas",18
"AL","DeKalb",20.9
"AL","Elmore",19.2
"AL","Escambia",20.8
"AL","Etowah",20.9
"AL","Fayette",21
"AL","Franklin",19.1
"AL","Geneva",21
"AL","Greene",16.7
"AL","Hale",17.6
"AL","Henry",17.2
"AL","Houston",18.3
"AL","Jackson",22.3
"AL","Jefferson",15.9
"AL","Lamar",20
"AL","Lauderdale",17
"AL","Lawrence",19.7
"AL","Lee",14.8
"AL","Limestone",17.1
"AL","Lowndes",16.6
"AL","Macon",16.1
"AL","Madison",14
"AL","Marengo",14.6
"AL","Marion",20.8
"AL","Marshall",21
"AL","Mobile",18.1
"AL","Monroe",19.7
"AL","Montgomery",14.7
"AL","Morgan",19
"AL","Perry",17
"AL","Pickens",19.3
"AL","Pike",16.1
"AL","Randolph",22
"AL","Russell",19.7
"AL","Shelby",12.7
"AL","St. Clair",19.5
"AL","Sumter",15.6
"AL","Talladega",20
